주소명,권역,주소,층,"엘리베이터유무(x:0,y:1)",난이도,동시작,동 끝
1000,1,서울 강남구 대치동66 대치쌍용1차아파트,15,1,,1,6
1001,1,서울 강남구 영동대로202 LG전자 베스트샵 대치본점,4,1,,,
1002,1,서울 강남구 영동대로 210 쌍용종합상가,5,0,,,
1003,1,서울 강남구 영동대로 216 하나은행 학여울역지점,3,1,,,
1004,1,서울 강남구 영동대로 50길 10 엠솔학원,3,0,,,
1005,1,서울 강남구 영동대로 50길 14 킹즈키즈 대치점,4,1,,,
1006,2,서울 강남구 대치동 대치우성1차아파트주택재건축 지구,3,0,,,
1007,2,서울 강남구 영동대로 230 우성상가,3,0,,,
1008,2,서울 강남구 대치동 65 대치쌍용2차아파트,3,0,,1,10
1009,3,서울 강남구 삼성로 212 한보은마아파트,15,1,,1,8
1010,4,서울 강남구 삼성로 212 한보은마아파트,15,1,,9,15
1011,5,서울 강남구 삼성로 212 한보은마아파트,15,1,,16,22
1012,5,서울 강남구 삼성로 212-2 창의수학학원,5,0,,,
1013,6,서울 강남구 삼성로 212 은마종합상가,5,0,,,
1014,6,서울 강남구 삼성로 212 한보은마아파트,15,1,,23,31
1015,7,서울 강남구 영동대로 330-7,5,1,,,
1016,7,서울 강남구 영동대로72길 10,4,1,,,
1017,7,서울 강남구 영동대로 342,3,1,,,
1018,7,서울 강남구 대치동 983-2,3,0,,,
1019,7,서울 강남구 대치동 983-2,4,0,,,
1020,8,서울 강남구 도곡로93길 12 래미안,14,1,,201,206
1021,8,서울 강남구 대치동 986-12,5,0,,,
1022,8,서울 강남구 대치동 986-4,3,0,,,
1023,8,서울 강남구 도곡로93길 23 르엘아파트,15,1,,101,106
1024,8,서울 강남구 삼성로64길 40 하이캐슬아파트,10,1,,101,102
1025,8,서울 강남구 삼성로64길 41 대치종합시장상가,4,0,,,
1026,8,서울 강남구 도곡로 529 대치 F/X,3,0,,,
1027,8,서울 강남구 영동대로65길 11 대치육아종합지원센터,6,1,,,
1028,9,서울 강남구 대치동 982-10,4,0,,,
1029,9,서울 강남구 대치동 982-4,2,0,,,
1030,9,서울 강남구 대치동 980-5,4,1,,,
1031,9,서울 강남구 대치동 980-17,5,0,,,
1032,9,서울 강남구 대치동 979-20,3,0,,,
1033,9,서울 강남구 대치동 979-6,3,0,,,
1034,10,서울 강남구 도곡로 505,3,0,,,
1035,10,서울 강남구 삼성로64길 5 대치현대종합상가,5,1,,,
1036,10,서울 강남구 삼성로 64길5 대치현대아파트,24,1,,101,108
1037,10,서울 강남구 삼성로 324 신해청상가,5,1,,,
1038,10,서울 강남구 도곡로 515 한도산업사옥,4,0,,,
1039,11,서울 강남구 삼성로64길 25,7,0,,,
1040,11,서울 강남구 역삼로84길 8,3,0,,,
1041,11,서울 강남구 삼성로 342 세정빌딩,5,0,,,
1042,12,서울 강남구 영동대로 416 케이티앤지타워,6,0,,,
1043,12,서울 강남구 테헤란로108길42 엠디엠타워,5,1,,,
1044,12,서울 강남구 역삼로 103길 8 한국정밀빌딩,5,0,,,
1045,12,서울 강남구 테헤란로 114길 38 동일타워,7,0,,,
1046,12,서울 강남구 영동대로 86길 10-6 하나빌딩,3,0,,,
1047,12,서울 강남구 테헤란로 104길 12 양유빌딩,7,0,,,
1048,12,서울 강남구 테헤란로 104길 7 디에이그룹2빌딩,8,1,,,
1049,12,서울 강남구 테헤란로 614 슈페리어빌딩,7,1,,,
1050,12,서울 강남구 테헤란로 624 오로라월드빌딩,8,1,,,
1051,12,서울 테헤란로108길 25 대동빌딩,7,0,,,
1052,13,서울 강남구 역삼로 555 w타워 오피스텔,10,1,,,
1053,13,서울 강남구 영동대로 417 오토웨이타워,7,0,,,
1054,13,서울 강남구 영동대로85길 9 서전빌딩,5,0,,,
1055,13,서울 강남구 테헤란로 98길 8 KT&G 대치타워,7,1,,,
1056,13,서울 강남구 영동대로 429 세아빌딩,5,1,,,
1057,13,서울 강남구 테헤란로 534 글라스타워,8,1,,,
1058,13,서울 강남구 테헤란로 526 삼성빌딩,5,0,,,
1059,13,서울 강남구 테헤란로 520 삼안빌딩,6,0,,,
1060,13,서울 강남구 테헤란로 88길 17 세안빌딩,3,0,,,
1061,13,서울 강남구 영동대로 85길 34 대치2차아이파크 오피스텔,8,1,,,
1062,13,서울 강남구 테헤란로 98길 15 송강빌딩,4,0,,,
1063,14,서울 강남구 삼성로 408 경승빌딩,5,0,,,
1064,14,서울 강남구 역삼로 511-7 대치힐빌리,5,0,,,
1065,14,서울 강남구 역삼로 517 정명빌딩,5,1,,,
1066,14,서울 강남구 역삼로87길7 라임빌라,7,0,,,
1067,14,서울 강남구 삼성로 76길 20 삼성힐,5,0,,,
1068,14,서울 강남구 삼성로 82길 26 제이에스빌딩,5,0,,,
1069,14,서울 강남구 역삼로 87길 15 현대골든빌,4,0,,,
1070,14,서울 강남구 역삼로 83길 14 남호주택,2,0,,,
1071,14,서울 강남구 역삼로 81길 22 프라임빌,3,0,,,
1072,14,서울 강남구 삼성로 420,4,1,,,
1073,15,서울 강남구 테헤란로 504 해성빌딩,7,1,,,
1074,15,서울 강남구 테헤란로 512 신안빌딩,5,1,,,
1075,15,서울 강남구 테헤란로 86길 17 대연빌딩,5,0,,,
1076,15,서울 강남구 테헤란로 86길 16 덕유빌딩,7,1,,,
1077,15,서울 강남구 삼성로 84길 30 소트캐피탈파트너스,5,0,,,
1078,15,서울 강남구 삼성로 82길 21 삼성오에이,4,0,,,
1079,15,서울 강남구 삼성로 428 플러스앤파트너스,5,0,,,
1080,15,서울 강남구 삼성로 82길 11 리얼페이,5,0,,,
1081,15,서울 강남구 삼성로 434 쥬비스타워,5,0,,,
1082,15,서울 강남구 삼성로 438 도화타워,7,1,,,
1083,16,서울 강남구 삼성로 51길 11,5,0,,,
1084,16,서울 강남구 삼성로 51길 35 래미안 대치팰리스(2단지),35,1,,201,204
1085,16,서울 강남구 삼성로 51길 7 서울교회,7,1,,,
1086,16,서울 강남구 삼성로 221 혜성빌딩,3,0,,,
1087,16,서울 강남구 삼성로 223 진양초록빌딩,4,0,,,
1088,16,서울 강남구 남부순환로 397길 5 미도맨션,5,0,,,
1089,16,서울 강남구 남부순환로 2937 까치빌딩,5,0,,,
1090,16,서울 강남구 남부순환로395길 10,10,1,,,
1091,16,서울 강남구 남부순환로 2947,6,0,,,
1092,16,서울 강남구 남부순환로 2941 대치탑프라자,5,1,,,
1093,16,서울 강남구 남부순환로 2931 ,3,0,,,
1094,17,서울 강남구 삼성로 57길 45 대치삼성래미안2차아파트,22,1,,105,113
1095,17,서울 강남구 도곡로 78길 22 대치삼성래미안아파트,24,1,,101,104
1096,17,서울 강남구 대치동 1019-3 대치더클래스,10,1,,,
1097,17,서울 강남구 삼성로 225 아주빌딩,7,0,,,
1098,17,서울 강남구 삼성로 231 금마빌딩,3,0,,,
1099,17,서울 강남구 삼성로 233 신사빌딩,4,0,,,
1100,17,서울 강남구 도곡로 458 정일빌딩,5,1,,,
1101,17,서울 강남구 도곡로 454 알파마이티대치빌딩,5,1,,,
1102,17,서울 강남구 도곡로 444 일억조빌딩,5,0,,,
1103,17,서울 강남구 삼성로57길 19,5,0,,,
1104,17,서울 강남구 57길 54 태정빌딩,4,0,,,
1105,17,서울 강남구 삼성로 57길 36 대덕빌딩,7,0,,,
1106,18,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트,25,1,,101,113
1107,18,서울 강남구 삼성로 51길 42 남선빌딩,7,0,,,
1108,18,서울 강남구 남부순환로 2927 대치클래시아,8,1,,,
1109,18,서울 강남구 남부순환로 2921 남서울종합상가,3,0,,,
1110,18,서울 강남구 남부순환로 2911-1 성보2빌딩,4,0,,,
1111,19,서울 강남구 선릉로 206 대치동부센트레빌아파트,25,1,,7,
1112,19,서울 강남구 선릉로206,5,0,,,
1113,19,서울 강남구 남부순환로 2909 여천빌딩,4,0,,,
1114,19,서울 강남구 남부순환로 391길 15,5,0,,,
1115,19,서울 강남구 남부순환로 391길 19 대치1문화센터,4,1,,,
1116,19,서울 강남구 남부순환로 391길 25 성은교회,3,0,,,
