category,name,weight,volume,"shape(0:보통,1:큼,2:이상함)",냉장(0)/냉동(1)/상온(2)
채소,양파,1000,1000,0,2
채소,당근,500,500,0,2
채소,양배추,200,700,0,2
채소,감자,1000,1000,0,2
채소,호박고구마,800,1000,0,2
채소,엿구마,120,500,0,1
채소,꺳잎,100,500,0,2
"채소 ",부추,200,1000,0,2
채소,시금치,200,1000,0,2
채소,파프리카,100,1000,0,2
채소,브로콜리,200,500,0,2
채소,셀러리,500,1500,0,2
채소,대파,500,1000,0,2
채소,마늘,200,500,0,0
채소,무,800,1000,0,1
수산,주꾸미 볶음,300,500,0,1
수산,생새우살,200,500,0,0
수산,다시마면,350,500,0,0
수산,바지락,500,1000,0,0
수산,모시조개,1000,1000,0,0
수산,동죽조개,1500,1500,0,0
수산,전복,1000,1000,0,0
수산,고등어,200,500,0,1
수산,생연어,200,1000,0,0
수산,영광굴비,1200,1500,0,1
수산,코다리,500,1000,0,1
수산,참조기,500,1000,0,1
"수산 ",참문어,400,1000,0,1
수산,오징어,200,500,0,1
수산,오징어채,300,500,0,1
과일,아오리사과,1000,1000,0,2
과일,복숭아,1800,2800,0,2
과일,샤인머스캣,700,1000,0,2
과일,캠밸포도,1000,1500,0,2
과일,망고,2000,4000,0,0
과일,골드키위,1800,8000,0,0
과일,컷팅 파인애플,1000,1200,0,0
과일,허니듀 멜론,3600,5000,0,0
과일,아보카도 퓨레,200,500,0,0
과일,간편 커팅과일,150,250,0,0
과일,냉동 딸기,1000,1500,0,1
견과류,아몬드,500,1000,0,2
견과류,하루견과류,4000,8000,0,2
곡물류," 쌀 10kg",10000,12000,1,2
곡물류,오트밀,250,400,0,2
정육류,꼬리반골 7kg,7000,8750,1,1
정육류,안심 200g,200,500,0,0
정육류,채끝 200g,200,650,0,0
정육류,불고기 200g,200,650,0,0
정육류,소갈비 1kg,1000,2000,0,0
정육류,삼겹살 300g,300,500,0,0
정육류,목살 300g,300,500,0,0
정육류,수육 600g,600,1000,0,0
정육류,한돈 토마호크,250,800,0,0
정육류,대란 10구,520,650,1,0
정육류,구엄닭,800,1500,0,0
정육류,닭다리살 1kg,1000,2000,0,1
정육류,훈제오리 400g,400,1000,0,1
정육류,간장 닭갈비 400,400,1200,0,1
정육류,곰탕/갈비 혼합세트,2000,4320,0,1
메인요리,갈비탕,1000,1500,0,1
메인요리,설렁탕,500,1000,0,1
메인요리,곰탕,500,1000,0,1
메인요리,순대국,600,1000,0,1
메인요리,김치찌개,500,1000,0,1
메인요리,감자탕,920,1500,0,1
메인요리,곰국,1600,2000,0,1
메인요리,된장찌개,660,1000,0,1
메인요리,도가니탕,700,1000,0,1
메인요리,칼국수,200,500,0,1
메인요리,종합 어묵,500,1000,0,1
메인요리,고기폭탄쌀국수,750,1500,0,1
메인요리,짬뽕순두부찌개,860,2000,0,1
메인요리,물막국수,1300,2000,0,1
메인요리,유린기,500,1500,0,1
간편식,시리얼,400,1000,0,0
간편식,프라이즈,1000,2000,0,1
간편식,사각피자,100,500,0,1
간편식,건나물 비빔밥,300,500,0,1
간편식,플랫브레드,300,1000,0,1
간편식,미니 월남쌈,350,1000,0,1
간편식,감자볼,800,1500,0,1
간편식,연근튀김,200,500,0,1
간편식,프리미엄죽,250,500,0,1
간편식,토마토파스타,500,1500,0,1
음료,우유,900,1000,0,1
음료,돌체라떼,330,500,0,1
음료,석수(2L*6),12000,12000,2,2
음료,비요뜨,150,300,0,1
음료,그릭요거트,100,200,0,1
음료,하늘보리,1500,1500,0,2
음료,콩물,1000,1000,0,1
음료,컵커피,200,300,0,1
간식,떡,500,700,0,1
간식,그래놀라,200,500,0,2
간식,컵 아이스크림,500,700,0,1
간식,감자칩,150,1000,0,2
간식,통밀 도너츠,230,500,0,2
간식,큐브 초콜릿,176,500,1,2
간식,베어젤리,980,1500,0,2
간식,마카다미아 초콜릿,190,400,0,2
간식,비타캔디,40,100,0,2
베이커리,통밀 식빵,420,700,0,2
베이커리,베이글,113,300,0,2
베이커리,치즈,200,300,0,1
베이커리,우유 듬뿍 식빵,500,1000,0,2
베이커리,데니쉬 식빵,500,1000,0,2
베이커리,소금빵,75,150,0,2
베이커리,아이치즈,180,300,0,0
베이커리,크림치즈,200,300,0,0
베이커리,오리지널 글레이즈드,150,1000,0,0
베이커리,버터롤,250,1000,0,2
생활용품,생리대,300,500,0,2
생활용품,화장지 30개입,2000,30000,2,2
생활용품,키친타월 6개입,1000,5000,0,2
생활용품,제습제 12개입,6000,6000,2,2
생활용품,마스크 10개입,200,600,0,2
생활용품,위생장갑,200,500,0,2
생활용품,막힘 용해제,1000,2000,0,2
생활용품,미용티슈 6개입,1500,12000,2,2
생활용품,물티슈 10개입,3000,12000,2,2
생활용품,페이크삭스 10개입,1000,700,0,2
,,,,,
,,,,,
