id,address,column,row,floor,elevator
1000,서울 강남구 대치동66 대치쌍용1차아파트 101동,6,7,15,1
1001,서울 강남구 대치동66 대치쌍용1차아파트 102동,6,7,15,1
1002,서울 강남구 대치동66 대치쌍용1차아파트 103동,6,7,15,1
1003,서울 강남구 대치동66 대치쌍용1차아파트 104동,6,7,15,1
1004,서울 강남구 대치동66 대치쌍용1차아파트 105동,6,7,15,1
1005,서울 강남구 대치동66 대치쌍용1차아파트 106동,6,7,15,1
1006,서울 강남구 영동대로202 LG전자 베스트샵 대치본점,6,7,4,1
1007,서울 강남구 영동대로 210 쌍용종합상가,6,7,5,0
1008,서울 강남구 영동대로 216 하나은행 학여울역지점,6,7,3,1
1009,서울 강남구 영동대로 50길 10 엠솔학원,6,7,3,0
1010,서울 강남구 영동대로 50길 14 킹즈키즈 대치점,6,7,4,1
1011,서울 강남구 대치동 대치우성1차아파트주택재건축 지구,5,7,3,0
1012,서울 강남구 영동대로 230 우성상가,5,7,5,0
1013,서울 강남구 대치동 65 대치쌍용2차아파트 107동,5,7,15,1
1014,서울 강남구 대치동 65 대치쌍용2차아파트 108동,5,7,15,1
1015,서울 강남구 대치동 65 대치쌍용2차아파트 109동,5,7,15,1
1016,서울 강남구 대치동 65 대치쌍용2차아파트 110동,5,7,15,1
1017,서울 강남구 삼성로 208 한보은마아파트 1동,6,6,14,1
1018,서울 강남구 삼성로 208 한보은마아파트 2동,6,6,14,1
1019,서울 강남구 삼성로 208 한보은마아파트 3동,6,6,14,1
1020,서울 강남구 삼성로 208 한보은마아파트 5동,6,6,14,1
1021,서울 강남구 삼성로 208 한보은마아파트 6동,6,6,14,1
1022,서울 강남구 삼성로 208 한보은마아파트 7동,6,6,14,1
1023,서울 강남구 삼성로 208 한보은마아파트 8동,6,6,14,1
1024,서울 강남구 삼성로 208 한보은마아파트 9동,5,6,14,1
1025,서울 강남구 삼성로 208 한보은마아파트 10동,5,6,14,1
1026,서울 강남구 삼성로 208 한보은마아파트 11동,5,6,14,1
1027,서울 강남구 삼성로 208 한보은마아파트 12동,5,6,14,1
1028,서울 강남구 삼성로 208 한보은마아파트 13동,5,6,14,1
1029,서울 강남구 삼성로 212 한보은마아파트 23동,5,6,14,1
1030,서울 강남구 삼성로 212 한보은마아파트 24동,5,6,14,1
1031,서울 강남구 삼성로 212 한보은마아파트 26동,5,6,14,1
1032,서울 강남구 삼성로 212 한보은마아파트 27동,5,6,14,1
1033,서울 강남구 삼성로 212 한보은마아파트 28동,5,6,14,1
1034,서울 강남구 삼성로 212 한보은마아파트 29동,5,6,14,1
1035,서울 강남구 삼성로 212 한보은마아파트 21동,6,5,14,1
1036,서울 강남구 삼성로 212 한보은마아파트 22동,6,5,14,1
1037,서울 강남구 삼성로 212 한보은마아파트 30동,6,5,14,1
1038,서울 강남구 삼성로 212 한보은마아파트 31동,6,5,14,1
1039,서울 강남구 삼성로 212-2 창의수학학원,6,5,5,0
1040,서울 강남구 삼성로 212 은마종합상가,6,5,3,0
1041,서울 강남구 삼성로 208 한보은마아파트 15동,6,5,14,1
1042,서울 강남구 삼성로 208 한보은마아파트 16동,6,5,14,1
1043,서울 강남구 삼성로 208 한보은마아파트 17동,6,5,14,1
1044,서울 강남구 삼성로 208 한보은마아파트 18동,6,5,14,1
1045,서울 강남구 삼성로 208 한보은마아파트 19동,6,5,14,1
1046,서울 강남구 삼성로 208 한보은마아파트 20동,6,5,14,1
1047,서울 강남구 영동대로 330-7,3,7,5,0
1048,서울 강남구 영동대로72길 10,3,7,3,1
1049,서울 강남구 영동대로 342,3,7,5,1
1050,서울 강남구 대치동 983-2,3,6,4,0
1051,서울 강남구 도곡로93길 12 래미안아파트 201동,4,6,15,1
1052,서울 강남구 도곡로93길 12 래미안아파트 202동,4,6,15,1
1053,서울 강남구 도곡로93길 12 래미안아파트 203동,4,6,15,1
1054,서울 강남구 도곡로93길 12 래미안아파트 204동,4,6,15,1
1055,서울 강남구 도곡로93길 12 래미안아파트 205동,4,6,15,1
1056,서울 강남구 대치동 986-12,4,5,4,0
1057,서울 강남구 대치동 986-4,4,5,4,0
1058,서울 강남구 도곡로93길 23 르엘아파트 101동,3,6,7,1
1059,서울 강남구 도곡로93길 23 르엘아파트 102동,3,6,7,1
1060,서울 강남구 도곡로93길 23 르엘아파트 103동,3,6,7,1
1061,서울 강남구 도곡로93길 23 르엘아파트 104동,3,6,7,1
1062,서울 강남구 도곡로93길 23 르엘아파트 105동,3,6,7,1
1063,서울 강남구 도곡로93길 23 르엘아파트 106동,3,6,7,1
1064,서울 강남구 삼성로64길 40 하이캐슬아파트 101동,4,5,7,1
1065,서울 강남구 삼성로64길 40 하이캐슬아파트 102동,4,5,7,1
1066,서울 강남구 삼성로64길 41 대치종합시장상가,3,6,3,0
1067,서울 강남구 도곡로 529 대치 F/X,4,5,4,0
1068,서울 강남구 영동대로65길 11 대치육아종합지원센터,4,6,4,0
1069,서울 강남구 대치동 982-10,3,6,3,0
1070,서울 강남구 대치동 982-4,3,6,6,1
1071,서울 강남구 대치동 980-5,3,6,4,0
1072,서울 강남구 대치동 980-17,3,6,2,0
1073,서울 강남구 대치동 979-20,3,6,4,1
1074,서울 강남구 대치동 979-6,3,6,5,0
1075,서울 강남구 도곡로 505,4,5,3,0
1076,서울 강남구 삼성로64길 5 대치현대종합상가,4,5,3,0
1077,서울 강남구 삼성로 64길5 대치현대아파트 101동,4,5,22,1
1078,서울 강남구 삼성로 64길5 대치현대아파트 102동,4,5,22,1
1079,서울 강남구 삼성로 64길5 대치현대아파트 103동,4,5,22,1
1080,서울 강남구 삼성로 64길5 대치현대아파트 104동,4,5,22,1
1081,서울 강남구 삼성로 64길5 대치현대아파트 105동,4,5,22,1
1082,서울 강남구 삼성로 64길5 대치현대아파트 106동,4,5,22,1
1083,서울 강남구 삼성로 64길5 대치현대아파트 107동,4,5,22,1
1084,서울 강남구 삼성로 64길5 대치현대아파트 108동,4,5,22,1
1085,서울 강남구 삼성로 324 신해청상가,4,5,5,1
1086,서울 강남구 도곡로 515 한도산업사옥,4,5,4,0
1087,서울 강남구 삼성로64길 25,4,5,7,0
1088,서울 강남구 역삼로84길 8,3,5,3,0
1089,서울 강남구 삼성로 342 세정빌딩,3,5,5,0
1090,서울 강남구 역삼로 92길 12,3,5,2,0
1091,서울 강남구 역삼로 536,3,5,7,1
1092,서울 강남구 삼성로 72길33,3,5,3,0
1093,서울 강남구 역삼로 542,3,5,4,1
1094,서울 강남구 영동대로 416 케이티앤지타워,1,7,6,0
1095,서울 강남구 테헤란로108길42 엠디엠타워,1,7,5,1
1096,서울 강남구 역삼로 103길 8 한국정밀빌딩,1,7,5,0
1097,서울 강남구 테헤란로 114길 38 동일타워,1,7,7,0
1098,서울 강남구 영동대로 86길 10-6 하나빌딩,1,7,3,0
1099,서울 강남구 테헤란로 104길 12 양유빌딩,1,7,7,0
1100,서울 강남구 테헤란로 104길 7 디에이그룹2빌딩,1,7,8,1
1101,서울 강남구 테헤란로 614 슈페리어빌딩,1,7,7,1
1102,서울 강남구 테헤란로 624 오로라월드빌딩,1,7,8,1
1103,서울 테헤란로108길 25 대동빌딩,1,7,7,0
1104,서울 강남구 영동대로 302 국민제1빌딩,2,7,5,1
1105,서울 강남구 영동대로 318,2,7,7,1
1106,서울 강남구 영동대로 303-7 대치풍림아이원4차아파트,2,7,11,1
1107,서울 강남구 영동대로 342,2,7,5,1
1108,서울 강남구 영동대로 72길 3,2,7,6,0
1109,서울 강남구 역삼로 555 w타워 오피스텔,2,6,10,1
1110,서울 강남구 영동대로 417 오토웨이타워,2,6,7,0
1111,서울 강남구 역삼로 541 휘문중고등학교,2,6,1,0
1112,서울 강남구 영동대로 405,2,6,4,1
1113,서울 강남구 영동대로85길 9 서전빌딩,1,6,5,0
1114,서울 강남구 테헤란로 98길 8 KT&G 대치타워,1,6,7,1
1115,서울 강남구 영동대로 429 세아빌딩,1,6,5,1
1116,서울 강남구 테헤란로 534 글라스타워,1,6,8,1
1117,서울 강남구 테헤란로 526 삼성빌딩,1,6,5,0
1118,서울 강남구 테헤란로 520 삼안빌딩,1,6,6,0
1119,서울 강남구 테헤란로 88길 17 세안빌딩,1,6,3,0
1120,서울 강남구 영동대로 85길 34 대치2차아이파크 오피스텔,1,6,8,1
1121,서울 강남구 테헤란로 98길 15 송강빌딩,1,6,4,0
1122,서울 강남구 삼성로 408 경승빌딩,2,5,5,0
1123,서울 강남구 역삼로 511-7 대치힐빌리,2,5,5,0
1124,서울 강남구 역삼로 517 정명빌딩,2,5,5,1
1125,서울 강남구 역삼로87길7 라임빌라,2,5,7,0
1126,서울 강남구 삼성로 76길 20 삼성힐,2,5,5,0
1127,서울 강남구 삼성로 82길 26 제이에스빌딩,2,5,5,0
1128,서울 강남구 역삼로 87길 15 현대골든빌,2,5,4,0
1129,서울 강남구 역삼로 83길 14 남호주택,2,5,2,0
1130,서울 강남구 역삼로 81길 22 프라임빌,2,5,3,0
1131,서울 강남구 삼성로 420,2,5,4,1
1132,서울 강남구 테헤란로 504 해성빌딩,1,5,7,1
1133,서울 강남구 테헤란로 512 신안빌딩,1,5,5,1
1134,서울 강남구 테헤란로 86길 17 대연빌딩,1,5,5,0
1135,서울 강남구 테헤란로 86길 16 덕유빌딩,1,5,7,1
1136,서울 강남구 삼성로 84길 30 소트캐피탈파트너스,1,5,5,0
1137,서울 강남구 삼성로 82길 21 삼성오에이,1,5,4,0
1138,서울 강남구 삼성로 428 플러스앤파트너스,1,5,5,0
1139,서울 강남구 삼성로 82길 11 리얼페이,1,5,5,0
1140,서울 강남구 삼성로 434 쥬비스타워,1,5,5,0
1141,서울 강남구 삼성로 438 도화타워,1,5,7,1
1142,서울 강남구 삼성로 51길 11,6,4,5,0
1143,서울 강남구 삼성로 51길 35 래미안 대치팰리스2단지아파트 201동,6,4,35,1
1144,서울 강남구 삼성로 51길 35 래미안 대치팰리스2단지아파트 202동,6,4,35,1
1145,서울 강남구 삼성로 51길 35 래미안 대치팰리스2단지아파트 203동,6,4,35,1
1146,서울 강남구 삼성로 51길 35 래미안 대치팰리스2단지아파트 204동,6,4,35,1
1147,서울 강남구 삼성로 51길 7 서울교회,6,4,7,1
1148,서울 강남구 삼성로 221 혜성빌딩,6,4,3,0
1149,서울 강남구 삼성로 223 진양초록빌딩,6,4,4,0
1150,서울 강남구 남부순환로 397길 5 미도맨션,6,4,5,0
1151,서울 강남구 남부순환로 2937 까치빌딩,6,4,5,0
1152,서울 강남구 남부순환로395길 10,6,4,10,1
1153,서울 강남구 남부순환로 2947,6,4,6,0
1154,서울 강남구 남부순환로 2941 대치탑프라자,6,4,5,1
1155,서울 강남구 남부순환로 2931 ,6,4,3,0
1156,서울 강남구 삼성로 57길 45 대치삼성래미안아파트 101동,5,4,22,1
1157,서울 강남구 삼성로 57길 45 대치삼성래미안아파트 102동,5,4,22,1
1158,서울 강남구 삼성로 57길 45 대치삼성래미안아파트 103동,5,4,22,1
1159,서울 강남구 삼성로 57길 45 대치삼성래미안아파트 104동,5,4,22,1
1160,서울 강남구 삼성로 57길 45 대치삼성래미안아파트 105동,5,4,22,1
1161,서울 강남구 삼성로 57길 45 대치삼성래미안아파트 106동,5,4,22,1
1162,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 107동,5,4,24,1
1163,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 108동,5,4,24,1
1164,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 109동,5,4,24,1
1165,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 110동,5,4,24,1
1166,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 111동,5,4,24,1
1167,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 112동,5,4,24,1
1168,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 113동,5,4,24,1
1169,서울 강남구 도곡로 78길 22 대치삼성래미안아파트 114동,5,4,24,1
1170,서울 강남구 대치동 1019-3 대치더클래스,5,4,10,1
1171,서울 강남구 삼성로 225 아주빌딩,5,4,7,0
1172,서울 강남구 삼성로 231 금마빌딩,5,4,3,0
1173,서울 강남구 삼성로 233 신사빌딩,5,4,4,0
1174,서울 강남구 도곡로 458 정일빌딩,5,4,5,1
1175,서울 강남구 도곡로 454 알파마이티대치빌딩,5,4,5,1
1176,서울 강남구 도곡로 444 일억조빌딩,5,4,5,0
1177,서울 강남구 삼성로57길 19,5,4,5,0
1178,서울 강남구 57길 54 태정빌딩,5,4,4,0
1179,서울 강남구 삼성로 57길 36 대덕빌딩,5,4,7,0
1180,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 101동,6,3,25,1
1181,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 102동,6,3,25,1
1182,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 103동,6,3,25,1
1183,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 104동,6,3,25,1
1184,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 105동,6,3,25,1
1185,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 106동,6,3,25,1
1186,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 107동,6,3,25,1
1187,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 108동,6,3,25,1
1188,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 109동,6,3,25,1
1189,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 110동,6,3,25,1
1190,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 111동,6,3,25,1
1191,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 112동,6,3,25,1
1192,서울 강남구 삼성로 51길 37 래미안대치팰리스1단지아파트 113동,6,3,25,1
1193,서울 강남구 삼성로 51길 42 남선빌딩,6,3,7,0
1194,서울 강남구 남부순환로 2927 대치클래시아,6,3,8,1
1195,서울 강남구 남부순환로 2921 남서울종합상가,6,3,3,0
1196,서울 강남구 남부순환로 2911-1 성보2빌딩,6,3,4,0
1197,서울 강남구 선릉로 206 대치동부센트레빌아파트 101동,6,3,25,1
1198,서울 강남구 선릉로 206 대치동부센트레빌아파트 102동,6,3,25,1
1199,서울 강남구 선릉로 206 대치동부센트레빌아파트 103동,6,3,25,1
1200,서울 강남구 선릉로 206 대치동부센트레빌아파트 104동,6,3,25,1
1201,서울 강남구 선릉로 206 대치동부센트레빌아파트 105동,6,3,25,1
1202,서울 강남구 선릉로 206 대치동부센트레빌아파트 106동,6,3,25,1
1203,서울 강남구 선릉로 206 대치동부센트레빌아파트 107동,6,3,25,1
1204,서울 강남구 남부순환로 2909 여천빌딩,6,3,4,0
1205,서울 강남구 남부순환로 391길 15,6,3,5,0
1206,서울 강남구 남부순환로 391길 19 대치1문화센터,6,3,4,1
1207,서울 강남구 남부순환로 391길 25 성은교회,6,3,3,0
1208,서울 강남구 선릉로 222 대치아이파크아파트 101동,5,3,25,1
1209,서울 강남구 선릉로 222 대치아이파크아파트 102동,5,3,25,1
1210,서울 강남구 선릉로 222 대치아이파크아파트 103동,5,3,25,1
1211,서울 강남구 선릉로 222 대치아이파크아파트 104동,5,3,25,1
1212,서울 강남구 선릉로 222 대치아이파크아파트 105동,5,3,25,1
1213,서울 강남구 선릉로 222 대치아이파크아파트 106동,5,3,25,1
1214,서울 강남구 선릉로 222 대치아이파크아파트 107동,5,3,25,1
1215,서울 강남구 선릉로 222 대치아이파크아파트 108동,5,3,25,1
1216,서울 강남구 선릉로 222 대치아이파크아파트 109동,5,3,25,1
1217,서울 강남구 선릉로 222 대치아이파크아파트 110동,5,3,25,1
1218,서울 강남구 선릉로 222 대치아이파크아파트 111동,5,3,25,1
1219,서울 강남구 도곡로 404 대치동롯데캐슬리베아파트 101동,5,3,20,1
1220,서울 강남구 도곡로 404 대치동롯데캐슬리베아파트 102동,5,3,20,1
1221,서울 강남구 도곡로 418 강원빌딩,5,3,5,0
1222,서울 강남구 도곡로 414 삼성빌딩,5,3,5,0
1223,서울 강남구 도곡로 63길 23 성진회관,5,3,5,0
1224,서울 강남구 도곡로 443 금성빌딩,4,4,5,0
